disease,prevalence,global_cases,incidence_rate,region
colorectal cancer,High,1.9 million annually,19.5 per 100,000,Global
breast cancer,High,2.3 million annually,47.8 per 100,000,Global
lung cancer,High,2.2 million annually,22.5 per 100,000,Global
diabetes,Very High,537 million,6.7% of adults,Global
alzheimer's disease,Moderate,55 million,5-8% of elderly,Global
